Dates,Total Cases,Daily New Cases,Active Cases,Total Deaths,Daily Deaths,New Recoveries
"Feb 15, 2020",3,0,0,0,0,0
"Feb 16, 2020",3,0,0,0,0,0
"Feb 17, 2020",3,0,0,0,0,0
"Feb 18, 2020",3,0,0,0,0,0
"Feb 19, 2020",3,0,0,0,0,0
"Feb 20, 2020",3,0,0,0,0,0
"Feb 21, 2020",3,0,0,0,0,0
"Feb 22, 2020",3,0,0,0,0,0
"Feb 23, 2020",3,0,0,0,0,0
"Feb 24, 2020",3,0,0,0,0,0
"Feb 25, 2020",3,0,0,0,0,0
"Feb 26, 2020",3,0,0,0,0,0
"Feb 27, 2020",3,0,0,0,0,0
"Feb 28, 2020",3,0,0,0,0,0
"Feb 29, 2020",3,0,0,0,0,0
"Mar 01, 2020",3,0,0,0,0,0
"Mar 02, 2020",6,3,3,0,0,0
"Mar 03, 2020",7,1,4,0,0,0
"Mar 04, 2020",29,22,26,0,0,0
"Mar 05, 2020",30,1,27,0,0,0
"Mar 06, 2020",31,1,28,0,0,0
"Mar 07, 2020",34,3,31,0,0,0
"Mar 08, 2020",40,6,37,0,0,0
"Mar 09, 2020",47,7,43,0,0,1
"Mar 10, 2020",62,15,58,0,0,0
"Mar 11, 2020",62,0,58,0,0,0
"Mar 12, 2020",74,12,69,1,1,0
"Mar 13, 2020",82,8,70,2,1,6
"Mar 14, 2020",100,18,88,2,0,0
"Mar 15, 2020",114,14,99,2,0,3
"Mar 16, 2020",129,15,114,2,0,0
"Mar 17, 2020",143,14,126,3,1,1
"Mar 18, 2020",169,26,152,3,0,0
"Mar 19, 2020",194,25,170,4,1,6
"Mar 20, 2020",249,55,221,5,1,3
"Mar 21, 2020",332,83,304,5,0,0
"Mar 22, 2020",396,64,364,8,3,1
"Mar 23, 2020",499,103,454,11,3,10
"Mar 24, 2020",536,37,485,11,0,6
"Mar 25, 2020",657,121,601,13,2,3
"Mar 26, 2020",727,70,661,21,8,2
"Mar 27, 2020",887,160,793,21,0,28
"Mar 28, 2020",987,100,878,25,4,11
"Mar 29, 2020",1024,37,901,28,3,11
"Mar 30, 2020",1251,227,1116,33,5,7
"Mar 31, 2020",1397,146,1238,36,3,21
"Apr 01, 2020",1998,601,1791,59,23,25
"Apr 02, 2020",2543,545,2279,73,14,43
"Apr 03, 2020",3059,516,2780,87,14,1
"Apr 04, 2020",3588,529,3259,100,13,37
"Apr 05, 2020",4289,701,3842,119,19,99
"Apr 06, 2020",4778,489,4266,137,18,47
"Apr 07, 2020",5351,573,4722,161,24,93
"Apr 08, 2020",5916,565,5231,179,18,38
"Apr 09, 2020",6725,809,5862,228,49,129
"Apr 10, 2020",7600,875,6576,250,22,139
"Apr 11, 2020",8446,846,7188,289,39,195
"Apr 12, 2020",9205,759,7793,332,43,111
"Apr 13, 2020",10453,1248,8913,359,27,101
"Apr 14, 2020",11487,1034,9734,394,35,178
"Apr 15, 2020",12370,883,10439,423,29,149
